Year,Reg,Group,Sex,PopD5a0,PopD5a1,PopD5a5,PopD5a10,PopD5a15,PopD5a20,PopD5a25,PopD5a30,PopD5a35,PopD5a40,PopD5a45,PopD5a50,PopD5a55,PopD5a60,PopD5a65,PopD5a70,PopD5a75,PopD5a80,PopD5a85
1989,1170,T,B,21564,93360,114809,114585,113811,101935,129321,148781,143737,107769,101493,142276,135891,150369,86262,57705,54162,27682,13449
1989,1170,T,M,10996,47637,58249,58108,58169,52466,66112,75278,71816,52517,46450,64104,59590,59263,26486,16384,13273,5250,1942
1989,1170,T,F,10569,45724,56561,56478,55642,49469,63210,73503,71921,55253,55044,78173,76301,91107,59777,41321,40889,22432,11508
1989,1170,U,B,17301,74986,93004,93796,96920,85385,107503,124489,122656,92992,84427,115065,104507,116165,65384,43443,39664,20053,9826
1989,1170,U,M,8855,38342,47149,47569,48778,43707,54398,62078,60218,44759,38249,51282,45336,46111,20243,12666,10298,3974,1489
1989,1170,U,F,8446,36645,45855,46227,48142,41678,53106,62411,62438,48233,46178,63783,59172,70054,45142,30778,29366,16079,8337
1989,1170,R,B,4264,18374,21805,20789,16891,16551,21818,24292,21081,14778,17067,27211,31384,34205,20878,14262,14498,7629,3624
1989,1170,R,M,2141,9295,11100,10539,9391,8759,11714,13200,11598,7758,8201,12822,14254,13152,6243,3718,2975,1276,453
1989,1170,R,F,2123,9079,10706,10251,7500,7792,10104,11092,9483,7020,8866,14390,17130,21053,14635,10544,11524,6353,3171
1989,1178,T,B,18662,80926,98918,95782,95687,92408,110809,118155,119318,85075,78414,105539,90173,100782,62769,42725,40600,22699,11138
1989,1178,T,M,9586,41225,50065,48633,48423,47576,56686,59779,59733,42240,37133,48819,39239,39022,17827,10362,8372,3699,1333
1989,1178,T,F,9077,39701,48853,47149,47264,44833,54123,58376,59585,42836,41282,56720,50935,61760,44942,32363,32228,19000,9806
1989,1178,U,B,14990,65174,80369,78694,83172,77941,91970,98462,101413,73759,65670,86765,69504,77609,47215,32178,29457,16040,7859
1989,1178,U,M,7682,33210,40739,39899,41664,39969,46538,48951,49845,36011,30770,39291,29893,30574,13427,8100,6416,2731,981
1989,1178,U,F,7308,31964,39631,38796,41508,37972,45432,49512,51568,37748,34901,47475,39612,47035,33788,24079,23041,13309,6878
1989,1178,R,B,3673,15753,18549,17088,12516,14467,18839,19693,17906,11317,12744,18774,20669,23173,15554,10547,11143,6660,3280
1989,1178,R,M,1904,8015,9327,8734,6760,7607,10148,10828,9888,6229,6363,9529,9346,8448,4400,2263,1957,968,352
1989,1178,R,F,1769,7738,9223,8354,5756,6861,8691,8865,8018,5088,6381,9246,11323,14726,11154,8285,9187,5692,2928
1989,1145,T,B,108194,473081,568603,515572,540290,559534,738888,777334,704987,631460,479870,636840,513193,555044,356376,254721,260071,137425,67640
1989,1145,T,M,55277,242367,290730,262737,268116,269051,356198,370652,327552,296939,224586,286000,217241,216343,106166,74467,71045,33322,13598
1989,1145,T,F,52917,230715,277873,252835,272174,290483,382690,406682,377435,334521,255285,350840,295953,338701,250210,180254,189026,104103,54042
1989,1145,U,B,108188,473060,568580,515555,540280,559508,738859,777300,704952,631442,479846,636814,513152,554990,356344,254692,260029,137404,67630
1989,1145,U,M,55274,242352,290719,262729,268114,269038,356184,370636,327533,296931,224572,285989,217221,216323,106156,74458,71037,33317,13597
1989,1145,U,F,52914,230708,277861,252827,272167,290470,382675,406665,377419,334511,255275,350825,295931,338668,250188,180234,188993,104087,54033
1989,1145,R,B,6,22,24,17,10,26,30,34,35,18,24,27,42,54,32,29,42,21,10
1989,1145,R,M,3,15,12,8,3,13,14,17,19,8,14,11,20,20,11,9,9,5,1
1989,1145,R,F,3,7,12,9,8,13,16,18,16,10,10,16,22,34,22,20,34,16,9
1989,3100,T,B,213402,950352,1136606,1048500,1039129,1044661,1309021,1395441,1303017,952373,720742,1011856,861090,839550,521842,340747,329978,173775,80261
1989,3100,T,M,109124,485206,578277,532436,549812,553418,670950,701031,646518,468880,348232,470464,378313,323693,144324,87850,73852,32622,11877
1989,3100,T,F,104278,465146,558329,516064,489318,491243,638071,694410,656499,483494,372510,541392,482777,515858,377519,252897,256127,141153,68385
1989,3100,U,B,172269,760684,917365,857271,896675,879479,1082676,1156958,1100771,832183,609127,840938,670362,650307,405122,266095,253059,131473,59082
1989,3100,U,M,88151,388557,467341,435422,468844,463745,546428,569210,534930,403094,290830,385501,290575,252004,111295,70999,59041,25791,9267
1989,3100,U,F,84119,372127,450024,421849,427831,415734,536248,587748,565841,429089,318297,455437,379788,398303,293827,195096,194018,105683,49815
1989,3100,R,B,41133,189668,219242,191229,142454,165182,226345,238484,202246,120190,111616,170919,190728,189244,116721,74652,76920,42302,21180
1989,3100,R,M,20973,96649,110936,97015,80968,89673,124522,131822,111588,65786,57403,84964,87739,71689,33029,16852,14811,6831,2610
1989,3100,R,F,20160,93019,108306,94215,61487,75509,101823,106662,90659,54405,54213,85955,102990,117555,83692,57801,62109,35471,18570
1989,1186,T,B,12215,53940,64130,60731,56673,51664,68178,73351,69156,45266,35089,52146,46755,41146,23338,14736,13173,6511,2727
1989,1186,T,M,6208,27295,32440,30801,29661,26689,35667,37894,35019,22612,16819,23948,20430,16047,6489,3546,2773,1088,337
1989,1186,T,F,6008,26645,31690,29930,27012,24976,32511,35457,34137,22654,18270,28198,26325,25099,16849,11190,10400,5423,2390
